0000.104689 0000027F 8 00 05 00 00 00 00 00 01
0000.104934 00000285 8 00 00 00 00 00 00 47 CE
0000.105185 00000284 8 00 00 00 00 00 00 47 CD
0000.109041 000001F9 6 20 00 7D 00 00 FF  
0000.109286 0000018A 8 FF F0 00 1F FE 3C 00 00
0000.113495 00000645 5 00 FA FF 00 00   
0000.113818 00000181 8 7D 00 32 10 32 20 32 00
0000.114074 000001F8 8 00 00 FF FF FE 00 00 0F
0000.114309 0000017A 8 FF FF FF FF 00 F0 31 A3
0000.114540 00000244 7 FE FE 00 18 00 00 FE 
0000.114790 00000354 8 00 00 00 00 00 00 06 00
0000.115021 00000652 8 95 90 00 15 40 07 55 50
0000.115251 00000715 8 01 F6 45 FC FE 86 24 23
0000.118717 000001F9 6 20 00 7D 00 00 FF  
0000.118963 00000650 5 41 00 FF D6 00   
0000.119188 0000018A 8 FF F0 00 1F FE 3C 00 00
0000.119992 00000215 6 00 20 00 00 01 01  
0000.121989 0000035D 8 90 03 00 00 09 C0 53 00
0000.123505 00000656 6 07 FF 07 FF 07 FF  
0000.123756 00000181 8 7D 00 32 10 32 20 32 00
0000.124006 000001F8 8 00 00 FF FF FE 00 00 0F
0000.124247 0000017A 8 FF FF FF FF 00 F0 31 A3
0000.124447 0000065B 6 FF EF FE B8 40 7C  
0000.124703 0000027F 8 00 05 00 00 00 00 00 01
0000.124964 00000285 8 00 00 00 00 00 00 48 CF
0000.125189 00000284 8 00 00 00 00 00 00 48 CE
0000.129065 000001F9 6 20 00 7D 00 00 FF  
0000.129285 00000638 7 50 0F C5 90 00 00 00 
0000.129536 0000018A 8 FF F0 00 1F FE 3C 00 00
0000.131983 000005FD 8 1F 64 55 4A C9 52 00 00
0000.133780 00000181 8 7D 00 32 10 32 20 32 00
0000.134031 000001F8 8 00 00 FF FF FE 00 00 0F
0000.134267 0000017A 8 FF FF FF FF 00 F0 31 A3
0000.134508 000001FD 8 31 41 7F FF 7F FF 50 00
0000.134738 00000244 7 FE FE 00 18 00 00 FE 
0000.135849 000005E4 3 00 00 00     
0000.138783 000001F9 6 20 00 7D 00 00 FF  
0000.139023 00000427 8 DB FF FF C7 FF FF 28 00
0000.139264 0000018A 8 FF F0 00 1F FE 3C 00 00
0000.139971 00000215 6 00 20 00 00 01 01  
0000.143805 00000181 8 7D 00 32 10 32 20 32 00
0000.144046 0000042E 8 FF FF DF FF E4 09 00 FF
0000.144282 0000017A 8 FF FF FF FF 00 F0 31 A3
0000.144532 000001F8 8 00 00 FF FF FE 00 00 0F
0000.144788 0000027F 8 00 05 00 00 00 00 00 01
0000.145029 00000285 8 00 00 00 00 00 00 49 D0
0000.145275 00000284 8 00 00 00 00 00 00 49 CF
0000.145516 000005E9 8 00 38 00 00 00 18 00 02
0000.145966 00000651 2 04 F0      
0000.149079 000001F9 6 20 00 7D 00 00 FF  
0000.149299 0000018A 8 FF F0 00 1F FE 3C 00 00
0000.151977 0000060D 8 0E 16 00 00 45 47 02 00
0000.153774 00000551 8 47 00 00 00 FE 02 00 00
0000.154025 000001F8 8 00 00 FF FF FE 00 00 0F
0000.154260 00000181 8 7D 00 32 10 32 20 32 00
0000.154506 0000017A 8 FF FF FF FF 00 F0 31 A3
0000.154737 00000244 7 FE FE 00 18 00 00 FE 
0000.154988 00000354 8 00 00 00 00 00 00 06 00
0000.158756 000001F9 6 20 00 7D 00 00 FF  
0000.159027 0000018A 8 FF F0 00 1F FE 3C 00 00
0000.159990 00000215 6 00 20 00 00 01 01  
0000.160205 00000625 6 82 60 E7 11 00 00  
0000.161920 00000366 4 00 00 00 A0    
0000.163855 00000181 8 7D 00 32 10 32 20 32 00
0000.164106 000001F8 8 00 00 FF FF FE 00 00 0F
0000.164342 0000017A 8 FF FF FF FF 00 F0 31 A3
