0000.000000 00000285 8 00 00 00 00 00 00 49 D0
0000.000231 00000284 8 00 00 00 00 00 00 49 CF
0000.002488 00000181 8 7D 00 32 10 32 20 32 00
0000.002739 000001F8 8 00 00 FF FF FE 00 00 0F
0000.002970 0000017A 8 FF FF FF FF 00 F0 31 A3
0000.003221 000001FD 8 21 41 7F FF 7F FF 50 00
0000.006892 00000657 2 C1 C8      
0000.007496 000001F9 6 00 00 7D 00 00 FF  
0000.007736 00000427 8 DB FF FF C7 FF FF 28 00
0000.007972 0000018A 8 FF F0 00 1F FE 3C 00 00
0000.008929 00000215 6 FF 20 FF 00 00 00  
0000.009585 00000244 7 FE FE 00 18 00 00 FE 
0000.009836 00000354 8 00 00 00 00 00 00 06 00
0000.012508 00000181 8 7D 00 32 10 32 20 32 00
0000.012749 0000042E 8 FF FF DF FF E4 09 00 FF
0000.012984 0000017A 8 FF FF FF FF 00 F0 31 A3
0000.013235 000001F8 8 00 00 FF FF FE 00 00 0F
0000.016000 00000634 4 80 FE 00 00    
0000.016804 00000511 7 00 62 50 EF C6 7D 2D 
0000.017797 000001F9 6 00 00 7D 00 00 FF  
0000.018028 0000018A 8 FF F0 00 1F FE 3C 00 00
0000.019748 0000027F 8 00 09 00 01 00 00 00 01
0000.019989 00000285 8 00 00 00 00 00 00 4A D1
0000.020240 00000284 8 00 00 00 00 00 00 4A D0
0000.022544 00000551 8 48 00 00 00 FE 00 00 00
0000.022789 000001F8 8 00 00 FF FF FE 00 00 0F
0000.023035 00000181 8 7D 00 32 10 32 20 32 00
0000.023276 0000017A 8 FF FF FF FF 00 F0 31 A3
0000.026957 00000500 5 02 FE 54 9E C5   
0000.027408 000001F9 6 00 00 7D 00 00 FF  
0000.027653 0000018A 8 FF F0 00 1F FE 3C 00 00
0000.028923 00000215 6 FF 20 FF 00 00 00  
0000.029128 00000625 6 82 00 E7 11 00 00  
0000.029532 00000244 7 FE FE 00 18 00 00 FE 
0000.032528 00000181 8 7D 00 32 10 32 20 32 00
0000.032778 000001F8 8 00 00 FF FF FE 00 00 0F
0000.033014 0000017A 8 FF FF FF FF 00 F0 31 A3
0000.037852 000001F9 6 00 00 7D 00 00 FF  
0000.038103 0000018A 8 FF F0 00 1F FE 3C 00 00
0000.039803 0000027F 8 00 09 00 01 00 00 00 01
0000.040044 00000285 8 00 00 00 00 00 00 4B D2
0000.040289 00000284 8 00 00 00 00 00 00 4B D1
0000.042573 00000181 8 7D 00 32 10 32 20 32 00
0000.042819 000001F8 8 00 00 FF FF FE 00 00 0F
0000.043054 0000017A 8 FF FF FF FF 00 F0 31 A3
0000.045558 000005C5 8 63 01 F6 45 06 A2 00 7F
0000.047437 000001F9 6 00 00 7D 00 00 FF  
0000.047693 0000018A 8 FF F0 00 1F FE 3C 00 00
0000.048912 00000215 6 FF 20 FF 00 00 00  
0000.049720 00000244 7 FE FE 00 18 00 00 FE 
0000.049971 00000354 8 00 00 00 00 00 00 06 00
0000.052506 00000181 8 7D 00 32 10 32 20 32 00
0000.052752 000001F8 8 00 00 FF FF FE 00 00 0F
0000.052997 0000017A 8 FF FF FF FF 00 F0 31 A3
0000.055557 00000645 5 00 FF FF 00 00   
0000.057016 0000035D 8 90 03 00 00 09 C0 53 00
0000.057836 000001F9 6 00 00 7D 00 00 FF  
0000.058087 0000018A 8 FF F0 00 1F FE 3C 00 00
0000.059802 0000027F 8 00 09 00 01 00 00 00 01
0000.060042 00000285 8 00 00 00 00 00 00 4C D3
0000.060288 00000284 8 00 00 00 00 00 00 4C D2
0000.062536 00000181 8 7D 00 32 10 32 20 32 00
0000.062787 000001F8 8 00 00 FF FF FE 00 00 0F
0000.063027 0000017A 8 FF FF FF FF 00 F0 31 A3
0000.065546 00000656 6 07 FF 07 FF 07 FF  
0000.067016 000005FD 8 1F 64 55 4A C9 02 00 00
0000.067523 000005DD 7 00 FF FF 40 00 FE 00 
0000.067743 000001F9 6 00 00 7D 00 00 FF  
