0030.145741 00000354 8 00 00 00 00 00 00 06 00
0030.147287 00000181 8 7D 00 32 10 32 20 32 00
0030.147533 000001F8 8 00 00 FF FF FE 00 00 0F
0030.147773 0000017A 8 FF FF FF FF 00 F0 31 A3
0030.147978 0000065B 6 FF EF FE FC 40 7C  
0030.149637 00000657 2 C1 C8      
0030.152207 000005C5 8 63 01 F6 45 16 A2 00 7F
0030.152658 000001F9 6 00 00 7D 00 00 FF  
0030.152868 00000638 7 50 10 05 90 08 00 00 
0030.153119 0000018A 8 FF F0 00 1F FE 3C 00 00
0030.155484 0000027F 8 00 04 00 02 00 01 00 02
0030.155725 00000285 8 00 00 00 00 00 00 C4 4B
0030.155976 00000284 8 00 00 00 00 00 00 C4 4A
0030.157327 00000181 8 7D 00 32 10 32 20 32 00
0030.157578 000001F8 8 00 00 FF FF FE 00 00 0F
0030.157819 0000017A 8 FF FF FF FF 00 F0 31 A3
0030.158070 000001FD 8 25 41 7F FF 7F FF 50 00
0030.158203 00000651 2 05 F0      
0030.162212 00000645 5 00 FF FF 00 00   
0030.162422 000001F9 6 00 00 7D 00 00 FF  
0030.162662 00000427 8 DB FF FF C7 FF FF 28 00
0030.162903 0000018A 8 FF F0 00 1F FE 3C 00 00
0030.163789 00000215 6 FF 20 FF 00 00 00  
0030.165299 00000244 7 FE FE 00 18 00 00 FE 
0030.167368 00000181 8 7D 00 32 10 32 20 32 00
0030.167613 0000042E 8 FF FF DF FF E4 09 00 FF
0030.167854 0000017A 8 FF FF FF FF 00 F0 31 A3
0030.168100 000001F8 8 00 00 FF FF FE 00 00 0F
0030.169707 00000500 5 02 6B FF E0 88   
0030.172155 00000656 6 07 FF 07 FF 07 FF  
0030.172641 000001F9 6 00 00 7D 00 00 FF  
0030.172948 0000018A 8 FF F0 00 1F FE 3C 00 00
0030.175503 0000027F 8 00 04 00 02 00 01 00 02
0030.175744 00000285 8 00 00 00 00 00 00 C5 4C
0030.175990 00000284 8 00 00 00 00 00 00 C5 4B
0030.177367 00000551 8 48 00 00 00 FE 00 00 00
0030.177618 000001F8 8 00 00 FF FF FE 00 00 0F
0030.177859 00000181 8 7D 00 32 10 32 20 32 00
0030.178099 0000017A 8 FF FF FF FF 00 F0 31 A3
0030.182328 000001F9 6 00 00 7D 00 00 FF  
0030.182574 0000018A 8 FF F0 00 1F FE 3C 00 00
0030.183782 00000215 6 FF 20 FF 00 00 00  
0030.184013 00000625 6 82 00 E8 11 00 00  
0030.184827 00000511 7 00 28 F5 C6 02 49 9E 
0030.185359 00000244 7 FE FE 00 18 00 00 FE 
0030.185615 00000354 8 00 00 00 00 00 00 06 00
0030.187377 00000181 8 7D 00 32 10 32 20 32 00
0030.187622 000001F8 8 00 00 FF FF FE 00 00 0F
0030.187863 0000017A 8 FF FF FF FF 00 F0 31 A3
0030.188109 00000654 8 00 00 20 4C FF C5 F3 00
0030.192676 000001F9 6 00 00 7D 00 00 FF  
0030.192901 00000637 7 00 00 00 00 FC 00 00 
0030.193152 0000018A 8 FF F0 00 1F FE 3C 00 00
0030.193357 00000658 6 00 00 00 00 7E 40  
0030.195543 0000027F 8 00 04 00 02 00 01 00 02
0030.195789 00000285 8 00 00 00 00 00 00 C6 4D
0030.196040 00000284 8 00 00 00 00 00 00 C6 4C
0030.197345 00000181 8 7D 00 32 10 32 20 32 00
0030.197596 000001F8 8 00 00 FF FF FE 00 00 0F
0030.197837 0000017A 8 FF FF FF FF 00 F0 31 A3
0030.199762 0000035D 8 90 03 00 00 09 C0 53 00
0030.202276 000001F9 6 00 00 7D 00 00 FF  
0030.202455 0000062D 5 3E 8B 20 07 F0   
0030.202731 0000018A 8 FF F0 00 1F FE 3C 00 00
0030.203802 00000215 6 FF 20 FF 00 00 00  
0030.205471 00000244 7 FE FE 00 18 00 00 FE 
0030.207396 00000181 8 7D 00 32 10 32 20 32 00
0030.207642 000001F8 8 00 00 FF FF FE 00 00 0F
0030.207877 0000017A 8 FF FF FF FF 00 F0 31 A3
0030.209746 000005FD 8 1F 64 55 4A C8 E2 00 00
0030.209915 00000634 4 80 FE 00 00    
0030.212664 000001F9 6 00 00 7D 00 00 FF  
0030.212910 0000018A 8 FF F0 00 1F FE 3C 00 00
0030.215557 0000027F 8 00 04 00 02 00 01 00 02
0030.215798 00000285 8 00 00 00 00 00 00 C7 4E
0030.216043 00000284 8 00 00 00 00 00 00 C7 4D
0030.217364 00000181 8 7D 00 32 10 32 20 32 00
0030.217610 000001F8 8 00 00 FF FF FE 00 00 0F
0030.217846 0000017A 8 FF FF FF FF 00 F0 31 A3
0030.219100 000005E4 3 00 00 00     
0030.222300 000005DD 7 00 FF FF 40 00 FE 00 
0030.222515 000001F9 6 00 00 7D 00 00 FF  
0030.222761 0000018A 8 FF F0 00 1F FE 3C 00 00
0030.223790 00000215 6 FF 20 FF 00 00 00  
0030.225526 00000244 7 FE FE 00 18 00 00 FE 
0030.225782 00000354 8 00 00 00 00 00 00 06 00
0030.227343 00000181 8 7D 00 32 10 32 20 32 00
0030.227589 000001F8 8 00 00 FF FF FE 00 00 0F
0030.227830 0000017A 8 FF FF FF FF 00 F0 31 A3
0030.228075 000005E9 8 00 38 00 00 00 18 00 00
0030.229755 0000060D 8 08 16 00 00 45 48 02 00
0030.232643 000001F9 6 00 00 7D 00 00 FF  
0030.232934 0000018A 8 FF F0 00 1F FE 3C 00 00
