0000.000000 00000551 8 48 00 00 00 FE 00 00 00
0000.000251 000001F8 8 00 00 FF FF FE 00 00 0F
0000.000497 00000181 8 7D 00 32 10 32 20 32 00
0000.000743 0000017A 8 FF FF FF FF 00 F0 31 A3
0000.002852 0000027F 8 00 00 00 00 00 00 00 00
0000.003098 00000285 8 00 00 00 00 00 00 EC 73
0000.003349 00000284 8 00 00 00 00 00 00 EC 72
0000.004813 000001F9 6 00 00 7D 00 00 FF  
0000.005080 0000018A 8 FF F0 00 1F FE 3C 00 00
0000.006493 00000215 6 FF 20 FF 00 00 00  
0000.006703 00000625 6 82 00 E8 11 00 00  
0000.009114 0000035D 8 90 03 00 00 09 C0 53 00
0000.009933 00000181 8 7D 00 32 10 32 20 32 00
0000.010179 000001F8 8 00 00 FF FF FE 00 00 0F
0000.010420 0000017A 8 FF FF FF FF 00 F0 31 A3
0000.010665 00000654 8 00 00 20 4C FF C5 F3 00
0000.012806 00000244 7 FE FE 00 18 00 00 FE 
0000.015227 000001F9 6 00 00 7D 00 00 FF  
0000.015524 00000637 7 00 00 00 00 FC 00 00 
0000.015744 0000018A 8 FF F0 00 1F FE 3C 00 00
0000.019119 000005FD 8 1F 64 55 4A C8 C2 00 00
0000.019989 00000181 8 7D 00 32 10 32 20 32 00
0000.020240 000001F8 8 00 00 FF FF FE 00 00 0F
0000.020480 0000017A 8 FF FF FF FF 00 F0 31 A3
0000.021351 00000511 7 00 AD 48 69 AB 48 EF 
0000.022861 0000027F 8 00 00 00 00 00 00 00 00
0000.023107 00000285 8 00 00 00 00 00 00 ED 74
0000.023348 00000284 8 00 00 00 00 00 00 ED 73
0000.023481 00000651 2 04 F0      
0000.024899 000001F9 6 00 00 7D 00 00 FF  
0000.025140 000005C5 8 63 01 F6 45 06 A2 00 7F
0000.025380 0000018A 8 FF F0 00 1F FE 3C 00 00
0000.025570 0000062D 5 3E 8B 20 07 F0   
0000.026512 00000215 6 FF 20 FF 00 00 00  
0000.029999 00000181 8 7D 00 32 10 32 20 32 00
0000.030244 000001F8 8 00 00 FF FF FE 00 00 0F
0000.030485 0000017A 8 FF FF FF FF 00 F0 31 A3
0000.032809 00000244 7 FE FE 00 18 00 00 FE 
0000.033060 00000354 8 00 00 00 00 00 00 06 00
0000.035057 00000645 5 00 FF FF 00 00   
0000.035267 000001F9 6 00 00 7D 00 00 FF  
0000.035508 0000018A 8 FF F0 00 1F FE 3C 00 00
0000.039122 0000060D 8 08 16 00 00 45 48 02 00
0000.040003 00000181 8 7D 00 32 10 32 20 32 00
0000.040249 000001F8 8 00 00 FF FF FE 00 00 0F
0000.040484 0000017A 8 FF FF FF FF 00 F0 31 A3
0000.041944 000005E4 3 00 00 00     
0000.042824 0000027F 8 00 00 00 00 00 00 00 00
0000.043070 00000285 8 00 00 00 00 00 00 EE 75
0000.043311 00000284 8 00 00 00 00 00 00 EE 74
0000.044852 000005DD 7 00 FF FF 40 00 FE 00 
0000.045062 00000656 6 07 FF 07 FF 07 FF  
0000.045266 000001F9 6 00 00 7D 00 00 FF  
0000.045538 0000018A 8 FF F0 00 1F FE 3C 00 00
0000.046521 00000215 6 FF 20 FF 00 00 00  
0000.049060 00000366 4 00 00 00 A0    
0000.049956 00000181 8 7D 00 32 10 32 20 32 00
0000.050207 000001F8 8 00 00 FF FF FE 00 00 0F
0000.050443 0000017A 8 FF FF FF FF 00 F0 31 A3
0000.052665 00000244 7 FE FE 00 18 00 00 FE 
0000.055256 000001F9 6 00 00 7D 00 00 FF  
0000.055506 0000018A 8 FF F0 00 1F FE 3C 00 00
0000.058978 000005E9 8 00 38 00 00 00 18 00 00
0000.059116 00000657 2 C1 C8      
0000.060002 00000181 8 7D 00 32 10 32 20 32 00
0000.060248 000001F8 8 00 00 FF FF FE 00 00 0F
0000.060488 0000017A 8 FF FF FF FF 00 F0 31 A3
0000.060724 00000652 8 95 D0 00 15 40 07 55 50
0000.062848 0000027F 8 00 00 00 00 00 00 00 00
0000.063089 00000285 8 00 00 00 00 00 00 EF 76
0000.063335 00000284 8 00 00 00 00 00 00 EF 75
0000.064917 000001F9 6 00 00 7D 00 00 FF  
0000.065106 00000650 5 41 00 FF D6 00   
