;CANARY V2.3
;TIME_us.d C ID       FL L DATA
0000.000000 0 00000156 00 6 00 FF FF 05 00 40
0000.003748 0 00000155 00 8 00 87 D2 54 10 B0 02 C3
0000.004183 0 00000196 00 8 00 64 02 FF A0 47 2B 00
0000.004418 0 0000019F 00 8 00 00 7D 0F 00 6A 88 42
0000.004603 0 000001A1 00 5 00 07 06 41 30
0000.004813 0 00000157 00 6 D5 F6 09 C4 03 40
0000.005248 0 000001C7 00 4 AA 20 06 80
0000.009610 0 00000156 00 6 00 FF FF 05 00 40
0000.013742 0 00000155 00 8 00 87 D2 54 10 B0 02 C3
0000.014290 0 00000196 00 8 00 64 02 FF A0 47 2B 00
0000.014525 0 0000019F 00 8 00 00 7D 04 00 6A 88 42
0000.014730 0 00000157 00 6 D5 46 09 C4 03 40
0000.014914 0 000001A1 00 5 00 07 06 41 30
0000.015252 0 000001C7 00 4 AA 20 06 80
0000.015498 0 00000428 00 7 00 00 00 00 20 00 00
0000.015769 0 00000429 00 8 FF FF FF FF FF 3F 3F FF
0000.016036 0 000004F7 00 8 00 1E 28 00 B0 60 00 00
0000.020060 0 00000423 00 8 07 1E 00 39 5D A0 B2 CB
0000.020260 0 00000156 00 6 00 FF FF 05 00 40
0000.023746 0 00000155 00 8 00 87 D2 54 10 B0 02 C3
0000.024294 0 00000196 00 8 00 64 02 FF A0 47 2B 00
0000.024530 0 0000019F 00 8 00 00 7D 09 00 6A 88 42
0000.024714 0 000001A1 00 5 00 07 06 41 30
0000.024955 0 00000422 00 8 00 00 41 56 00 A8 01 41
0000.025180 0 00000426 00 7 00 00 02 01 3B C1 00
0000.025349 0 000001C7 00 4 AA 20 06 80
0000.025543 0 00000157 00 6 D5 96 09 C4 03 40
0000.025697 0 0000042C 00 3 00 00 3F
0000.025917 0 00000511 00 7 04 E7 C7 A2 1B FF FF
0000.029670 0 00000156 00 6 00 FF FF 05 00 40
0000.033746 0 00000155 00 8 00 87 D2 54 10 B0 02 C3
0000.034186 0 00000196 00 8 00 64 02 FF A0 47 2B 00
0000.034421 0 0000019F 00 8 00 00 7D 0E 00 6A 88 42
0000.034606 0 000001A1 00 5 00 07 06 41 30
0000.034816 0 00000157 00 6 D5 E6 09 C4 03 40
0000.035251 0 000001C7 00 4 AA 20 06 80
0000.040079 0 00000156 00 6 00 FF FF 05 00 40
0000.040253 0 00000436 00 4 00 5E 83 2C
0000.043760 0 00000155 00 8 00 87 D2 54 10 B0 02 C3
0000.044185 0 00000196 00 8 00 64 02 FF A0 47 2B 00
0000.044421 0 0000019F 00 8 00 00 7D 03 00 6A 88 42
0000.044605 0 000001A1 00 5 00 07 06 41 30
0000.044805 0 00000157 00 6 D5 36 09 C4 03 40
0000.045261 0 000001C7 00 4 AA 20 06 80
0000.049659 0 00000156 00 6 00 FF FF 05 00 40
0000.053760 0 00000155 00 8 00 87 D2 54 10 B0 02 C3
0000.054195 0 00000196 00 8 00 64 02 FF A0 47 2B 00
0000.054436 0 0000019F 00 8 00 00 7D 08 00 6A 88 42
0000.054620 0 000001A1 00 5 00 07 06 41 30
0000.054814 0 00000157 00 6 D5 86 09 C4 03 40
0000.055260 0 000001C7 00 4 AA 20 06 80
0000.060011 0 00000156 00 6 00 FF FF 05 00 40
0000.064286 0 00000196 00 8 00 64 02 FF A0 47 2B 00
0000.064522 0 0000019F 00 8 00 00 7D 0D 00 6A 88 42
0000.064814 0 00000155 00 8 00 87 D2 54 10 B0 02 C3
0000.064957 0 00000157 00 6 D5 D6 09 C4 03 40
0000.065136 0 000001A1 00 5 00 07 06 41 30
0000.065305 0 000001C7 00 4 AA 20 06 80
0000.065531 0 00000424 00 8 12 40 70 AF 3D 56 55 3D
0000.065771 0 00000425 00 8 24 12 44 89 82 18 01 0A
0000.069621 0 00000156 00 6 00 FF FF 05 00 40
0000.073753 0 00000155 00 8 00 87 D2 54 10 B0 02 C3
0000.074291 0 00000196 00 8 00 64 02 FF A0 47 2B 00
0000.074532 0 0000019F 00 8 00 00 7D 02 00 6A 88 42
0000.074731 0 00000157 00 6 D5 26 09 C4 03 40
0000.074910 0 000001A1 00 5 00 07 06 41 30
0000.075269 0 000001C7 00 4 AA 20 06 80
0000.080056 0 00000156 00 6 00 FF FF 05 00 40
0000.083748 0 00000155 00 8 00 87 D2 54 10 B0 02 C3
0000.084178 0 00000196 00 8 00 64 02 FF A0 47 2B 00
0000.084413 0 0000019F 00 8 00 00 7D 07 00 6A 88 42
0000.084597 0 000001A1 00 5 00 07 06 41 30
0000.084792 0 00000157 00 6 D5 76 09 C4 03 40
0000.085268 0 000001C7 00 4 AA 20 06 80
0000.089697 0 00000156 00 6 00 FF FF 05 00 40
0000.093752 0 00000155 00 8 00 87 D3 54 10 B0 02 C3
0000.094182 0 00000196 00 8 00 64 02 FF A0 47 2B 00
0000.094423 0 0000019F 00 8 00 00 7D 0C 00 6A 88 42
0000.094607 0 000001A1 00 5 00 07 06 41 30
0000.094817 0 00000157 00 6 D5 C6 09 C4 03 40
0000.095273 0 000001C7 00 4 AA 20 06 80
0000.099968 0 00000156 00 6 00 FF FF 05 00 40
0000.103746 0 00000155 00 8 00 87 D3 54 10 B0 02 C3
0000.104279 0 00000196 00 8 00 64 02 FF A0 47 2B 00
0000.104519 0 0000019F 00 8 00 00 7D 01 00 6A 88 42
0000.104714 0 00000157 00 6 D5 16 09 C4 03 40
0000.104898 0 000001A1 00 5 00 07 06 41 30
0000.105282 0 000001C7 00 4 AA 20 06 80
0000.109634 0 00000156 00 6 00 FF FF 05 00 40
0000.113756 0 00000155 00 8 00 87 D2 54 10 B0 02 C3
0000.114283 0 00000196 00 8 00 64 02 FF A0 47 2B 00
0000.114524 0 0000019F 00 8 00 00 7D 06 00 6A 88 42
0000.114724 0 00000157 00 6 D5 66 09 C4 03 40
0000.114908 0 000001A1 00 5 00 07 08 41 30
0000.115282 0 000001C7 00 4 AA 20 06 80
0000.115533 0 00000428 00 7 00 00 00 00 20 00 00
0000.115804 0 00000429 00 8 FF FF FF FF FF 3F 3F FF
0000.116065 0 000004F7 00 8 00 1E 28 00 B0 60 00 00
0000.119997 0 00000423 00 8 07 1E 00 39 5D A0 B2 CB
0000.120207 0 00000156 00 6 00 FF FF 05 00 40
0000.123735 0 00000155 00 8 00 87 D2 54 10 B0 02 C3
0000.124190 0 00000196 00 8 00 64 02 FF A0 47 2B 00
0000.124426 0 0000019F 00 8 00 00 7D 0B 00 6A 88 42
0000.124610 0 000001A1 00 5 00 07 08 41 30
0000.124851 0 00000422 00 8 00 00 41 56 00 A8 01 41
0000.125076 0 00000426 00 7 00 00 02 01 3B C1 00
0000.125276 0 00000157 00 6 D5 B6 09 C4 03 40
0000.125440 0 000001C7 00 4 AA 20 06 80
0000.125598 0 0000042C 00 3 00 00 3F
0000.125808 0 00000511 00 7 04 26 90 5B 86 0C E2
0000.129669 0 00000156 00 6 00 FF FF 05 00 40
0000.133724 0 00000155 00 8 00 87 D2 54 10 B0 02 C3
0000.134185 0 00000196 00 8 00 64 02 FF A0 47 2B 00
0000.134425 0 0000019F 00 8 00 00 7D 00 00 6A 88 42
0000.134610 0 000001A1 00 5 00 07 06 41 30
0000.134804 0 00000157 00 6 D5 06 09 C4 03 40
0000.135296 0 000001C7 00 4 AA 20 06 80
0000.140027 0 00000156 00 6 00 FF FF 05 00 40
0000.140196 0 00000436 00 4 00 5E 83 2C
0000.143728 0 00000155 00 8 00 87 D2 54 10 B0 02 C3
0000.144286 0 00000196 00 8 00 64 02 FF A0 47 2B 00
0000.144522 0 0000019F 00 8 00 00 7D 05 00 6A 88 42
0000.144706 0 000001A1 00 5 00 07 06 41 30
0000.144901 0 00000157 00 6 D5 56 09 C4 03 40
0000.145300 0 000001C7 00 4 AA 20 06 80
0000.149632 0 00000156 00 6 00 FF FF 05 00 40
0000.153728 0 00000155 00 8 00 87 D2 54 10 B0 02 C3
0000.154286 0 00000196 00 8 00 64 02 FF A0 47 2B 00
0000.154521 0 0000019F 00 8 00 00 7D 0A 00 6A 88 42
0000.154716 0 00000157 00 6 D5 A6 09 C4 03 40
0000.154957 0 000001A1 00 5 00 07 06 41 30
0000.155300 0 000001C7 00 4 AA 20 06 80
0000.160015 0 00000156 00 6 00 FF FF 05 00 40
0000.164178 0 00000196 00 8 00 64 02 FF A0 47 2B 00
0000.164418 0 0000019F 00 8 00 00 7D 0F 00 6A 88 42
0000.164654 0 00000155 00 8 00 87 D2 54 10 B0 02 C3
0000.164853 0 00000157 00 6 D5 F6 09 C4 03 40
0000.165038 0 000001A1 00 5 00 07 06 41 30
0000.165263 0 00000424 00 8 12 40 70 AF 3D 56 55 3D
0000.165437 0 000001C7 00 4 AA 20 06 80
0000.165668 0 00000425 00 8 24 12 44 89 82 18 01 0A
0000.169697 0 00000156 00 6 00 FF FF 05 00 40
0000.173732 0 00000155 00 8 00 87 D2 54 10 B0 02 C3
0000.174182 0 00000196 00 8 00 64 02 FF A0 47 2B 00
0000.174428 0 0000019F 00 8 00 00 7D 04 00 6A 88 42
0000.174612 0 000001A1 00 5 00 07 08 41 30
0000.174807 0 00000157 00 6 D5 46 09 C4 03 40
0000.175314 0 000001C7 00 4 AA 20 06 80
0000.180004 0 00000156 00 6 00 FF FF 05 00 40
0000.183731 0 00000155 00 8 00 87 D2 54 10 B0 02 C3
0000.184176 0 00000196 00 8 00 64 02 FF A0 47 2B 00
0000.184412 0 0000019F 00 8 00 00 7D 09 00 6A 88 42
0000.184596 0 000001A1 00 5 00 07 08 41 30
0000.184827 0 00000157 00 6 D5 96 09 C4 03 40
0000.185318 0 000001C7 00 4 AA 20 06 80
0000.189680 0 00000156 00 6 00 FF FF 05 00 40
0000.193725 0 00000155 00 8 00 87 D2 54 10 B0 02 C3
0000.194278 0 00000196 00 8 00 64 02 FF A0 47 2B 00
0000.194524 0 0000019F 00 8 00 00 7D 0E 00 6A 88 42
0000.194708 0 000001A1 00 5 00 07 08 41 30
0000.194903 0 00000157 00 6 D5 E6 09 C4 03 40
0000.195323 0 000001C7 00 4 AA 20 06 80
0000.200007 0 00000156 00 6 00 FF FF 05 00 40
0000.203730 0 00000155 00 8 00 87 D2 54 10 B0 02 C3
0000.204283 0 00000196 00 8 00 64 02 FF A0 47 2B 00
0000.204518 0 0000019F 00 8 00 00 7D 03 00 6A 88 42
0000.204702 0 000001A1 00 5 00 07 08 41 30
0000.204897 0 00000157 00 6 D5 36 09 C4 03 40
0000.205322 0 000001C7 00 4 AA 20 06 80
0000.209628 0 00000156 00 6 00 FF FF 05 00 40
0000.213724 0 00000155 00 8 00 87 D2 54 10 B0 02 C3
0000.214174 0 00000196 00 8 00 64 02 FF A0 47 2B 00
0000.214415 0 0000019F 00 8 00 00 7D 08 00 6A 88 42
0000.214599 0 000001A1 00 5 00 07 06 41 30
0000.214830 0 00000157 00 6 D5 86 09 C4 03 40
0000.215326 0 000001C7 00 4 AA 20 06 80
0000.215577 0 00000428 00 7 00 00 00 00 20 00 00
0000.215844 0 00000429 00 8 FF FF FF FF FF 3F 3F FF
0000.216105 0 000004F7 00 8 00 1E 28 00 B0 60 00 00
0000.220057 0 00000423 00 8 07 1E 00 39 5D A0 B2 CB
0000.220262 0 00000156 00 6 00 FF FF 05 00 40
0000.223728 0 00000155 00 8 00 87 D2 54 10 B0 02 C3
0000.224184 0 00000196 00 8 00 64 02 FF A0 47 2B 00
0000.224414 0 0000019F 00 8 00 00 7D 0D 00 6A 88 42
0000.224609 0 000001A1 00 5 00 07 08 41 30
0000.224839 0 00000422 00 8 00 00 41 56 00 A8 01 41
0000.225065 0 00000426 00 7 00 00 02 01 3B C1 00
0000.225218 0 0000042C 00 3 00 00 3F
0000.225423 0 00000157 00 6 D5 D6 09 C4 03 40
0000.225587 0 000001C7 00 4 AA 20 06 80
0000.225797 0 00000511 00 7 04 65 59 14 F1 19 C5
0000.229627 0 00000156 00 6 00 FF FF 05 00 40
0000.233723 0 00000155 00 8 00 87 D3 54 10 B0 02 C3
0000.234281 0 00000196 00 8 00 64 02 FF A0 47 2B 00
0000.234516 0 0000019F 00 8 00 00 7D 02 00 6A 88 42
0000.234701 0 000001A1 00 5 00 07 08 41 30
0000.234900 0 00000157 00 6 D5 26 09 C4 03 40
0000.235341 0 000001C7 00 4 AA 20 06 80
0000.240046 0 00000156 00 6 00 FF FF 05 00 40
0000.240215 0 00000436 00 4 00 5E 83 2C
0000.243707 0 00000155 00 8 00 87 D3 54 10 B0 02 C3
